,F0,F1,F2
age,1.1218984517323118,-0.3242893475587388,-0.7976091041735728
aweekend,1.1488302981001746,-0.47370909349582646,-0.6751212046043481
blood_transfusion,1.1543665703772668,-0.553134046186748,-0.6012325241905191
cardiac_adm,0.7866529227917562,-1.1253666818055155,0.33871375901375933
cc_index,-0.5773502691896257,-0.5773502691896257,1.1547005383792515
chronic_pain,1.0716308292146866,-0.1633835088749225,-0.9082473203397637
cm_aids,-0.5773502691896258,-0.5773502691896258,1.1547005383792517
cm_alcohol,1.1171592559557444,-0.3056638364101921,-0.8114954195455519
cm_anemdef,1.0966244124540434,-0.23516499881911876,-0.8614594136349245
cm_arth,0.2097431937754236,-1.0882361500919973,0.8784929563165734
cm_bldloss,1.153340894157357,-0.5281566717336191,-0.6251842224237378
cm_chf,-0.6499753531486325,-0.501540623137486,1.1515159762861185
cm_chrnlung,-0.13143716866727873,-0.927781895293596,1.0592190639608752
cm_coag,-0.7791645948302292,-0.34843999264276976,1.1276045874729987
cm_depress,1.1492694269299129,-0.4777593386623678,-0.6715100882675455
cm_dm,0.9341501947680035,-1.0548867680840446,0.12073657331604079
cm_dmcx,-0.8885726029556832,-0.19432864272360853,1.0829012456792917
cm_drug,1.142017624627548,-0.4232021521795302,-0.7188154724480178
cm_htn_c,1.0896113662149183,-0.8758046301774531,-0.21380673603746436
cm_hypothy,1.142414918060802,-0.716693252990149,-0.4257216650706531
cm_liver,0.5375635291669392,-1.153806673318918,0.6162431441519791
cm_lymph,-0.5773502691896257,-0.5773502691896257,1.1547005383792515
cm_lytes,-0.5773502691896258,1.1547005383792515,-0.5773502691896258
cm_mets,-0.5773502691896257,-0.5773502691896257,1.1547005383792517
cm_neuro,-0.5820702855970165,1.1546876406057893,-0.5726173550087731
cm_obese,1.1402633799927726,-0.7277691480626518,-0.4124942319301205
cm_para,-1.0710623581618612,0.16187482800876618,0.9091875301530951
cm_perivasc,-0.5348401081789058,-0.6188415009903,1.153681609169206
cm_psych,1.0935726574863711,-0.2257347252607437,-0.8678379322256276
cm_pulmcirc,-1.0582978742019846,0.12914367826722356,0.929154195934761
cm_renlfail,-0.6353763622895369,-0.5173104168676991,1.152686779157236
cm_smoking,1.1414489942079977,-0.7217895334829141,-0.41965946072508387
cm_tumor,-0.5773502691896258,-0.5773502691896258,1.1547005383792515
cm_ulcer,0.49183269299053767,-1.1506679431112996,0.6588352501207617
