,F0,F1,F2,F3,F4
age,1.6652883316032372,0.013630307601240291,-0.9939888336785971,-0.2974606439966625,-0.3874691615292174
aweekend,1.258593313577215,-0.24250863892013463,-0.6201595377073773,-1.1711419511746912,0.7752168142249876
blood_transfusion,-0.8039319691603456,-0.1694538208855437,0.14729426893024128,1.630023490275994,-0.8039319691603456
cardiac_adm,0.4197119868125413,-0.99304576941768,1.3421126675230926,-0.99304576941768,0.22426688449972615
cc_index,-0.4472135954999579,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579
chronic_pain,-1.1390043173049411,0.960635879940223,-0.3562250443098581,-0.6016268731283314,1.1362203548029075
cm_aids,-0.4472135954999579,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579
cm_alcohol,0.5001787625038432,0.5450376731497972,-0.6605512159059411,-1.4052719253202137,1.0206067055725145
cm_anemdef,-1.4537482696635227,0.794026544948163,-0.37975273920155367,1.054373599440709,-0.014899135523796878
cm_arth,0.1804944649085597,-0.7930631888238038,1.630615171757044,-0.7930631888238038,-0.22498325901799585
cm_bldloss,0.7610882679270987,-1.083051532929072,-1.083051532929072,0.49309141191928973,0.9119233860117547
cm_chf,-0.49825062412162563,-0.28657216858831824,1.7813240409531952,-0.49825062412162563,-0.49825062412162563
cm_chrnlung,-0.49382683340005656,-0.5875577037983706,1.7490756377999312,-0.5875577037983706,-0.08013339680313337
cm_coag,-0.9685265388569635,0.08906383125694037,1.375906226039821,0.47208302041716516,-0.9685265388569635
cm_depress,1.4053279760713844,-0.3644217759807205,-0.7146130330782808,-0.9781142658094037,0.6518210987970207
cm_dm,-0.2611801877764252,-0.7763860924731101,1.1876633161555104,-1.0515731802867208,0.9014761443807455
cm_dmcx,-0.6522366768715581,0.3211384037782094,1.6236062870201526,-0.6522366768715581,-0.6402713370552459
cm_drug,0.3825767591789728,-0.5184312133634567,-0.9303495542780081,-0.5039414648120185,1.5701454732745104
cm_htn_c,0.7430793311073661,-0.6721299030137683,0.7055081273127881,-1.4362959548863885,0.6598383994800029
cm_hypothy,1.4770729950821635,-0.34845931312562606,0.13690110820869952,-1.295073678591779,0.029558888426540596
cm_liver,-0.25900955232187445,-0.9608012527921883,1.6818280920410158,-0.4240103099731066,-0.03800697695384621
cm_lymph,-0.4472135954999579,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579
cm_lytes,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579,-0.4472135954999579
cm_mets,-0.4472135954999579,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579
cm_neuro,-0.4755232597183283,1.7866166698303216,-0.4755232597183283,-0.4755232597183283,-0.36004689067533646
cm_obese,0.887493906162525,-1.4357166997137856,-0.14040039418363512,-0.32436579720291403,1.0129889849378109
cm_para,-0.7144963711171325,0.7791595113868405,1.364329601964557,-0.7144963711171325,-0.7144963711171325
cm_perivasc,-0.5454737462806989,-0.414774318588219,1.7856980272247138,-0.39014853164136915,-0.43530143071442656
cm_psych,-0.8016811736840584,0.39299630820565057,-1.2731100747503015,0.5512124475664879,1.1305824926622219
cm_pulmcirc,-0.9450285963165054,0.17333864572039537,1.4542763539008317,0.26244219301178373,-0.9450285963165054
cm_renlfail,-0.4923986852258613,-0.30581006072353434,1.7830061164011184,-0.4923986852258613,-0.4923986852258613
cm_smoking,0.7241279639705958,-0.9282304700999255,-0.05858528580520914,-1.0035772934651226,1.2662650853996615
cm_tumor,-0.4472135954999579,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579
cm_ulcer,-0.729901614865369,-0.729901614865369,1.1413671760163637,1.0483376685797428,-0.729901614865369
cm_valve,-0.037429032640454524,0.012903630711132121,1.5310225936820592,-0.2435253930075517,-1.2629717987451852
cm_wghtloss,-0.6651465571244041,0.41383181920072293,-0.6651465571244041,1.5816078521724894,-0.6651465571244041
copd,-0.55251661718703,-0.41909380932828544,1.2817291393213353,-1.1111371179144014,0.8010184051083811
diabetes,-0.5525166171870293,-0.4190938093282851,1.2817291393213357,-1.1111371179144018,0.8010184051083805
elective,1.6178780913816002,-0.8283675521913179,-0.8283675521913179,-0.04887209617207244,0.0877291091731071
endo_adm,-0.659510979266553,1.7342988450214072,-0.07334286181004229,-0.659510979266553,-0.3419340246782589
female,1.3547144529747635,-0.4799671974537887,-0.8682914251555763,-0.771482235833774,0.7650264054683755
fracture_adm,0.14789554525357185,1.6544198217405346,-0.7631713650229671,-0.2759726369481724,-0.7631713650229671
fractures,-0.17285342312889979,1.739918186985658,-0.6502795715561839,-0.2351266884134951,-0.6816585038870793
frailty_risk_category,0.7660264925550783,1.1118185223358967,-0.8175690298745648,-1.2180883124017607,0.1578123273853496
frailty_risk_category_index,-0.447213595499958,1.788854381999832,-0.447213595499958,-0.447213595499958,-0.447213595499958
frailty_risk_score,-0.14711044912825652,1.7628508240381098,-0.5201664369156342,-0.5485740667843454,-0.546999871209873
gi_adm,1.5445985620753786,-0.8350352816577548,-0.657458499859643,-0.5176427824273911,0.46553800186941036
gu_adm,-0.573632027616784,1.7356900727204996,-0.014793989870147673,-0.573632027616784,-0.573632027616784
h_contrl,1.590975245829154,-0.5828250350920453,-0.6204143027058061,-0.7722403562957301,0.38450444826442715
hosp_bedsize,1.5393844566213168,-0.6401427386322674,-0.7194551652123294,-0.6758691427253215,0.4960825899486014
hosp_ur_teach,-0.6018369498625324,-0.390743249723507,-0.25398185808271,-0.5264247449466519,1.7729868026154012
hosp_urban_rural_location,-0.447213595499958,-0.447213595499958,-0.447213595499958,-0.447213595499958,1.788854381999832
hosp_urcat4,-0.2840005314524379,-0.29673345937616324,-0.36925071240411184,-0.7985286327852298,1.7485133360179428
ibd_procedures,-0.5021128972610185,-0.5270180835974931,-0.5270180835974931,1.7734605282423495,-0.21731146378634422
ibd_specific_adm,0.42897490880415856,-1.0769667681283692,-1.0769667681283692,0.7971931930757565,0.9277654343768229
infxn_adm,-0.447213595499958,1.788854381999832,-0.447213595499958,-0.447213595499958,-0.447213595499958
los,-0.34331733765611616,-0.24033254034178975,-0.588283155873351,1.767402695130186,-0.595469661258929
malignancies_adm,-0.4472135954999579,-0.4472135954999579,1.7888543819998317,-0.4472135954999579,-0.4472135954999579
neuro_adm,1.0994101267943086,0.28785155423128056,-0.8923622603659159,-1.1934057700436989,0.6985063493840251
new_arrhythmia_adm,1.3105874401159587,-0.9569520205412011,0.6648552488794345,-0.959750200663488,-0.05874046779070474
new_atypicalmyco_adm,-0.43702460307199126,-0.7992986536928992,1.7374081054355401,-0.36456264380917586,-0.1365222048614732
