,F0,F1,F2,F3
age,662.9332433631835,258.6356670395723,80.68932380328081,221.79358426259162
aweekend,40.4305047616229,9.855068970018843,4.563680283349273,3.277822367396629
blood_transfusion,0.0,2.849899381977078,5.699616048611622,14.469423304704414
cardiac_adm,15.938862159822362,0.0,9.188270914024768,0.0
cc_index,0.0,0.0,267.61774910618306,0.0
chronic_pain,2.8048052676347406,1.7397733324361768,0.6885776007542282,0.9769689324948735
cm_aids,0.0,0.0,0.4892660991919317,0.0
cm_alcohol,5.118153956027384,2.0734476078143738,0.7269940444051072,0.41808859207410043
cm_anemdef,15.732295896138147,12.598134287457302,7.178647202647708,16.851085978719592
cm_arth,7.368466972585612,0.39866046967874075,9.629425445879471,0.0
cm_bldloss,7.78147379938214,0.0,0.0,3.2260409012906375
cm_chf,0.0,1.2773474616739564,15.111184149278978,0.0
cm_chrnlung,16.62253650865769,0.0,41.32602143085036,1.6798441665542345
cm_coag,0.0,2.1858935589434156,5.53620062416493,3.447863496649566
cm_depress,33.487130129104,6.885460140147974,2.510355550828059,3.48694703544443
cm_dm,24.979996562788198,3.1036838885174696,15.258071217515896,2.78349131667358
cm_dmcx,0.0,1.70470085743429,4.374236738728227,0.0
cm_drug,10.28939707242637,1.3517856426377306,0.0,2.2411191277982403
cm_htn_c,76.44148537527299,15.951203635369367,32.05867432955618,4.984579245311794
cm_hypothy,20.913124072401818,5.889802737686683,6.733549379633697,0.24935338128050497
cm_liver,5.0850394841564945,0.2968931241530909,6.408571151754189,1.8659771593653869
cm_lymph,0.0,0.0,2.1314349503895187,0.0
cm_lytes,0.0,49.364614209313245,0.0,0.0
cm_mets,0.0,0.0,5.704307849486876,0.0
cm_neuro,0.3995867286354144,9.199178050941217,0.003502992882818759,0.0
cm_obese,20.802773755250865,0.737491020370467,4.859849568604686,6.061685820757883
cm_para,0.0,1.2096135669879462,1.7935418444836497,0.0
cm_perivasc,0.1791244390665577,0.4923388844922022,10.006468375400516,0.9988866330729264
cm_psych,6.386563365256872,2.591902307961879,0.0,3.6690823615000303
cm_pulmcirc,0.0,0.8495360679238733,2.0516762651640192,1.0761030659361572
cm_renlfail,0.0,2.028288566751844,26.27202368712437,0.0
cm_smoking,77.72303072080217,7.130742256038539,14.563053468249802,1.9338824859329489
cm_tumor,0.0,0.0,5.628446478783707,0.0
cm_ulcer,0.0,0.0,0.08862846892435218,0.0810408566849994
cm_valve,1.2612796052240078,1.5926867071311932,3.5026079029377866,1.2650728980365082
cm_wghtloss,0.0,4.786859238033297,0.0,12.782146831519373
copd,27.716433786679584,6.723034220933229,19.584599224893665,3.9423477038604893
diabetes,27.716433786679584,6.723034220933229,19.584599224893665,3.9423477038604893
elective,51.90975010230262,0.0,0.33164133965884984,10.625503689951776
endo_adm,0.5135008571420822,2.4436471442664143,0.6588437290310762,0.0
female,125.12393386792724,21.55125201425193,4.422578515246266,18.354845896844918
fracture_adm,0.41353029809452596,1.506055260768751,0.0,0.34746477366788514
fractures,0.33954067671869737,2.5027379033255412,0.04584104405864664,0.5410026988587203
frailty_risk_category,162.8977354031184,100.92487765913795,26.15008618307101,26.86391884402467
frailty_risk_category_index,0.0,54.872669269926334,0.0,0.0
frailty_risk_score,53.496807805816275,362.4339811759791,8.714021732101088,11.973468380086645
gi_adm,45.16815113384819,0.0,3.2959363230667376,8.150494397468847
gu_adm,0.0,4.019233714443519,1.0583423740093711,0.0
h_contrl,415.17770277820534,71.42397984263346,43.358637118763085,61.115045060641144
hosp_bedsize,499.3578103748693,84.35771121356787,48.553670219752725,93.78033229678698
hosp_ur_teach,143.20888373797158,13.980359359451322,14.980163009981228,28.744380237523703
hosp_urban_rural_location,18.48615406563489,2.6421891727276763,2.1410268622326303,1.25327673553456
hosp_urcat4,317.1907217855376,50.35901788568557,33.26872620871588,47.19644597225412
ibd_procedures,20.68713861525077,0.0,0.0,46.53628053373159
ibd_specific_adm,50.8378033608204,0.0,0.0,26.08663035869146
infxn_adm,0.0,16.55243340517596,0.0,0.0
los,122.66251407164695,70.7442876792913,27.189963975792708,443.0457223447457
malignancies_adm,0.4420756459124439,0.0,7.09212898876644,0.0
neuro_adm,2.690097302469995,0.8947786800055016,0.16661234023311572,0.0
new_arrhythmia_adm,12.190209237808736,0.9962031171735967,5.964032780640286,0.4739794141228742
new_atypicalmyco_adm,0.07469152210526454,0.0,0.08129121999792048,0.005535904342367076
new_cardiacarrest_adm,0.0,0.08726612343067308,0.11209547483568383,0.0
new_cc_index,15.377531837808272,0.0,191.29464190589363,0.0
new_cdiff_adm,0.0,3.033947569496112,0.0,1.1254952983660689
new_chf_adm,1.066554846345619,0.0,12.655648906936234,0.0
new_encephalitis_adm,0.017842166008530926,0.012019092925804529,0.0019290336886917706,0.0011796591195174495
new_endocarditis_adm,0.0,0.0,0.0,0.11149216058449041
new_fungal_adm,0.0,0.0,0.00323544364750982,0.06720742401870487
new_listeriosis_adm,0.0,0.0004867043993212221,0.02246326140976435,0.00853387521390875
new_meningitis_adm,0.011693798567350392,0.0,0.0,0.04853285997108094
